phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,4000,flat,1474.796,2440.000,31796,31796,0,0,0,0,0,0,true,false,826298520a0ae0ddfe0dcad36fd77456a480982d635ca0a20bafdc754611eea5
initial,noop,0,4000,flat,1096.379,2460.000,72908,72908,0,0,1,0,0,0,true,false,826298520a0ae0ddfe0dcad36fd77456a480982d635ca0a20bafdc754611eea5
warmup,edit,1,4000,flat,1384.658,3180.000,91212,91212,1,0,2,1024,0,0,true,false,b2451e186dbfa48db3be799b037832d73a085b7964db5f50b09f471dfa8180bb
warmup,noop,1,4000,flat,1059.832,2560.000,92252,92252,0,0,1,0,0,0,true,false,b2451e186dbfa48db3be799b037832d73a085b7964db5f50b09f471dfa8180bb
sample,edit,1,4000,flat,1377.383,3250.000,93316,93316,1,0,2,1024,0,0,true,false,b495175d367a1c6cce2c849f25c31d1b05a03b46bcebdbe9d4b899ae0ac4190f
sample,noop,1,4000,flat,1035.793,2460.000,97488,97488,0,0,1,0,0,0,true,false,b495175d367a1c6cce2c849f25c31d1b05a03b46bcebdbe9d4b899ae0ac4190f
sample,edit,2,4000,flat,1355.941,3110.000,97788,97788,1,0,2,1024,0,0,true,false,fa270047a64e5b5aa39462764bfb5b3100ff8c69b5519eed79016c86ab565efa
sample,noop,2,4000,flat,1065.107,2590.000,98656,98656,0,0,1,0,0,0,true,false,fa270047a64e5b5aa39462764bfb5b3100ff8c69b5519eed79016c86ab565efa
sample,edit,3,4000,flat,1392.848,3320.000,98732,98732,1,0,2,1024,0,0,true,false,dec9c300b0f49c42e48693a2df435081e096f553adeedce34c760943fcf7498e
sample,noop,3,4000,flat,1045.265,2540.000,98744,98744,0,0,1,0,0,0,true,false,dec9c300b0f49c42e48693a2df435081e096f553adeedce34c760943fcf7498e
sample,edit,4,4000,flat,1353.780,3170.000,98784,98784,1,0,2,1024,0,0,true,false,e49b55877eabcf6fbf4d9765abd0e6eda969c4f94338ed54ef85408884103ad7
sample,noop,4,4000,flat,1039.690,2500.000,99752,99752,0,0,1,0,0,0,true,false,e49b55877eabcf6fbf4d9765abd0e6eda969c4f94338ed54ef85408884103ad7
sample,edit,5,4000,flat,1393.486,3390.000,99768,99768,1,0,2,1024,0,0,true,false,e4ff85f8880d6db781887e9a314c206fb3cccda8ad21bb9d890e9959c9fb1f91
sample,noop,5,4000,flat,1091.814,2630.000,99772,99772,0,0,1,0,0,0,true,false,e4ff85f8880d6db781887e9a314c206fb3cccda8ad21bb9d890e9959c9fb1f91
sample,edit,6,4000,flat,1373.449,3240.000,100504,100504,1,0,2,1024,0,0,true,false,ede42314dc18d81191830ca608488d5805bca1876886547990a001f7b197c800
sample,noop,6,4000,flat,1038.667,2470.000,102056,102056,0,0,1,0,0,0,true,false,ede42314dc18d81191830ca608488d5805bca1876886547990a001f7b197c800
sample,edit,7,4000,flat,1309.944,3040.000,103040,103040,1,0,2,1024,0,0,true,false,f93acb08ee9369298e31642af04b5912cf7767508bc0a10727c92231fea5aebd
sample,noop,7,4000,flat,1073.510,2500.000,103040,103040,0,0,1,0,0,0,true,false,f93acb08ee9369298e31642af04b5912cf7767508bc0a10727c92231fea5aebd
validation,filesystem,0,4000,flat,172.569,170.000,103040,103040,0,0,0,0,0,0,true,true,99c45f701e983f44ceeabb4de9811e1f5a8e067c6d420914097d91c0ed7deddf
