phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,4000,nested,1516.833,2540.000,32080,32080,0,0,0,0,0,0,true,false,98bd04dcf942998db16786677795ae921d821a01ad6e61a0d9dd077141476247
initial,noop,0,4000,nested,1327.486,2560.000,75456,75456,0,0,1,0,0,0,true,false,98bd04dcf942998db16786677795ae921d821a01ad6e61a0d9dd077141476247
warmup,edit,1,4000,nested,1511.852,3330.000,91140,91140,1,0,3,1024,0,0,true,false,fa31022dcf17d2592c5f6b7d8d3693404a399b7c96ce64218b8a8d62860c4c1f
warmup,noop,1,4000,nested,1146.293,2500.000,92972,92972,0,0,1,0,0,0,true,false,fa31022dcf17d2592c5f6b7d8d3693404a399b7c96ce64218b8a8d62860c4c1f
sample,edit,1,4000,nested,1456.515,3200.000,93236,93236,1,0,3,1024,0,0,true,false,baf133c948b95407fb158496992c8871a8cdea222cb6c3907dbced42bd43c671
sample,noop,1,4000,nested,1099.243,2500.000,93428,93428,0,0,1,0,0,0,true,false,baf133c948b95407fb158496992c8871a8cdea222cb6c3907dbced42bd43c671
sample,edit,2,4000,nested,1399.052,3230.000,93604,93604,1,0,3,1024,0,0,true,false,f8c1780c708c91a25a65ad0ca23f3d18588bc0c072c949aa8e8e554fd527f913
sample,noop,2,4000,nested,1117.151,2570.000,94512,94512,0,0,1,0,0,0,true,false,f8c1780c708c91a25a65ad0ca23f3d18588bc0c072c949aa8e8e554fd527f913
sample,edit,3,4000,nested,1399.281,3160.000,95296,95296,1,0,3,1024,0,0,true,false,9805f5bac53a2272bff2cb0f0940fccb308c9ffa5e50f07a9a45c1d0196babd8
sample,noop,3,4000,nested,1129.498,2620.000,95296,95296,0,0,1,0,0,0,true,false,9805f5bac53a2272bff2cb0f0940fccb308c9ffa5e50f07a9a45c1d0196babd8
sample,edit,4,4000,nested,1410.436,3180.000,95460,95460,1,0,3,1024,0,0,true,false,31be20d75f5cd1f51eac348a578611d83987480e24e0786cbb5b91a8570bae05
sample,noop,4,4000,nested,1111.911,2560.000,95476,95476,0,0,1,0,0,0,true,false,31be20d75f5cd1f51eac348a578611d83987480e24e0786cbb5b91a8570bae05
sample,edit,5,4000,nested,1419.862,3210.000,95540,95540,1,0,3,1024,0,0,true,false,a122a962e2a27485695a0d9e9bd21f181ea938418ed225644965000c097114a5
sample,noop,5,4000,nested,1118.966,2560.000,96544,96544,0,0,1,0,0,0,true,false,a122a962e2a27485695a0d9e9bd21f181ea938418ed225644965000c097114a5
sample,edit,6,4000,nested,1385.109,3150.000,97352,97352,1,0,3,1024,0,0,true,false,b88ec03cb7fde2cf908fdae7757ee5de8a1417d87c37ae5775e634b5c23aa4b1
sample,noop,6,4000,nested,1112.614,2490.000,97356,97356,0,0,1,0,0,0,true,false,b88ec03cb7fde2cf908fdae7757ee5de8a1417d87c37ae5775e634b5c23aa4b1
sample,edit,7,4000,nested,1399.943,3170.000,97396,97396,1,0,3,1024,0,0,true,false,2a25e0c9a4134d2a0cbe6c05972c15c929874801fce8712b626a6e1eabc01a9e
sample,noop,7,4000,nested,1146.759,2650.000,97400,97400,0,0,1,0,0,0,true,false,2a25e0c9a4134d2a0cbe6c05972c15c929874801fce8712b626a6e1eabc01a9e
validation,filesystem,0,4000,nested,179.652,180.000,97400,97400,0,0,0,0,0,0,true,true,c85b15c2c0bbfaf219af0653cb16b79cba10b9b3bf504d89fbaaca188312a2c1
