phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,4000,flat,1450.561,2420.000,31988,31988,0,0,0,0,0,0,true,false,826298520a0ae0ddfe0dcad36fd77456a480982d635ca0a20bafdc754611eea5
initial,noop,0,4000,flat,1149.763,2620.000,76304,76304,0,0,1,0,0,0,true,false,826298520a0ae0ddfe0dcad36fd77456a480982d635ca0a20bafdc754611eea5
warmup,edit,1,4000,flat,1677.433,3510.000,93148,93148,1,0,2,1024,0,0,true,false,b2451e186dbfa48db3be799b037832d73a085b7964db5f50b09f471dfa8180bb
warmup,noop,1,4000,flat,1024.795,2440.000,96592,96592,0,0,1,0,0,0,true,false,b2451e186dbfa48db3be799b037832d73a085b7964db5f50b09f471dfa8180bb
sample,edit,1,4000,flat,1625.333,3480.000,96888,96888,1,0,2,1024,0,0,true,false,b495175d367a1c6cce2c849f25c31d1b05a03b46bcebdbe9d4b899ae0ac4190f
sample,noop,1,4000,flat,1050.573,2490.000,98668,98668,0,0,1,0,0,0,true,false,b495175d367a1c6cce2c849f25c31d1b05a03b46bcebdbe9d4b899ae0ac4190f
sample,edit,2,4000,flat,1565.912,3250.000,98764,98764,1,0,2,1024,0,0,true,false,fa270047a64e5b5aa39462764bfb5b3100ff8c69b5519eed79016c86ab565efa
sample,noop,2,4000,flat,1000.703,2350.000,98764,98764,0,0,1,0,0,0,true,false,fa270047a64e5b5aa39462764bfb5b3100ff8c69b5519eed79016c86ab565efa
sample,edit,3,4000,flat,1560.616,3330.000,99180,99180,1,0,2,1024,0,0,true,false,dec9c300b0f49c42e48693a2df435081e096f553adeedce34c760943fcf7498e
sample,noop,3,4000,flat,1121.655,2630.000,99200,99200,0,0,1,0,0,0,true,false,dec9c300b0f49c42e48693a2df435081e096f553adeedce34c760943fcf7498e
sample,edit,4,4000,flat,1721.091,3700.000,100880,100880,1,0,2,1024,0,0,true,false,e49b55877eabcf6fbf4d9765abd0e6eda969c4f94338ed54ef85408884103ad7
sample,noop,4,4000,flat,1081.402,2590.000,101704,101704,0,0,1,0,0,0,true,false,e49b55877eabcf6fbf4d9765abd0e6eda969c4f94338ed54ef85408884103ad7
sample,edit,5,4000,flat,1628.512,3430.000,102296,102296,1,0,2,1024,0,0,true,false,e4ff85f8880d6db781887e9a314c206fb3cccda8ad21bb9d890e9959c9fb1f91
sample,noop,5,4000,flat,1114.862,2590.000,102316,102316,0,0,1,0,0,0,true,false,e4ff85f8880d6db781887e9a314c206fb3cccda8ad21bb9d890e9959c9fb1f91
sample,edit,6,4000,flat,1606.886,3410.000,102356,102356,1,0,2,1024,0,0,true,false,ede42314dc18d81191830ca608488d5805bca1876886547990a001f7b197c800
sample,noop,6,4000,flat,1052.995,2500.000,102356,102356,0,0,1,0,0,0,true,false,ede42314dc18d81191830ca608488d5805bca1876886547990a001f7b197c800
sample,edit,7,4000,flat,1597.518,3420.000,102368,102368,1,0,2,1024,0,0,true,false,f93acb08ee9369298e31642af04b5912cf7767508bc0a10727c92231fea5aebd
sample,noop,7,4000,flat,1053.021,2460.000,102368,102368,0,0,1,0,0,0,true,false,f93acb08ee9369298e31642af04b5912cf7767508bc0a10727c92231fea5aebd
validation,filesystem,0,4000,flat,170.858,170.000,102368,102368,0,0,0,0,0,0,true,true,99c45f701e983f44ceeabb4de9811e1f5a8e067c6d420914097d91c0ed7deddf
