phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,4000,nested,1525.142,2520.000,32348,32348,0,0,0,0,0,0,true,false,98bd04dcf942998db16786677795ae921d821a01ad6e61a0d9dd077141476247
initial,noop,0,4000,nested,1254.099,2590.000,76028,76028,0,0,1,0,0,0,true,false,98bd04dcf942998db16786677795ae921d821a01ad6e61a0d9dd077141476247
warmup,edit,1,4000,nested,1438.166,3190.000,92780,92780,1,0,3,1024,0,0,true,false,fa31022dcf17d2592c5f6b7d8d3693404a399b7c96ce64218b8a8d62860c4c1f
warmup,noop,1,4000,nested,1152.395,2570.000,93140,93140,0,0,1,0,0,0,true,false,fa31022dcf17d2592c5f6b7d8d3693404a399b7c96ce64218b8a8d62860c4c1f
sample,edit,1,4000,nested,1410.933,3110.000,93284,93284,1,0,3,1024,0,0,true,false,baf133c948b95407fb158496992c8871a8cdea222cb6c3907dbced42bd43c671
sample,noop,1,4000,nested,1142.698,2610.000,94444,94444,0,0,1,0,0,0,true,false,baf133c948b95407fb158496992c8871a8cdea222cb6c3907dbced42bd43c671
sample,edit,2,4000,nested,1401.343,3150.000,94580,94580,1,0,3,1024,0,0,true,false,f8c1780c708c91a25a65ad0ca23f3d18588bc0c072c949aa8e8e554fd527f913
sample,noop,2,4000,nested,1099.847,2530.000,94620,94620,0,0,1,0,0,0,true,false,f8c1780c708c91a25a65ad0ca23f3d18588bc0c072c949aa8e8e554fd527f913
sample,edit,3,4000,nested,1491.362,3400.000,96404,96404,1,0,3,1024,0,0,true,false,9805f5bac53a2272bff2cb0f0940fccb308c9ffa5e50f07a9a45c1d0196babd8
sample,noop,3,4000,nested,1144.416,2610.000,96428,96428,0,0,1,0,0,0,true,false,9805f5bac53a2272bff2cb0f0940fccb308c9ffa5e50f07a9a45c1d0196babd8
sample,edit,4,4000,nested,1433.528,3280.000,98192,98192,1,0,3,1024,0,0,true,false,31be20d75f5cd1f51eac348a578611d83987480e24e0786cbb5b91a8570bae05
sample,noop,4,4000,nested,1107.446,2550.000,98192,98192,0,0,1,0,0,0,true,false,31be20d75f5cd1f51eac348a578611d83987480e24e0786cbb5b91a8570bae05
sample,edit,5,4000,nested,1436.194,3340.000,98216,98216,1,0,3,1024,0,0,true,false,a122a962e2a27485695a0d9e9bd21f181ea938418ed225644965000c097114a5
sample,noop,5,4000,nested,1138.807,2680.000,98224,98224,0,0,1,0,0,0,true,false,a122a962e2a27485695a0d9e9bd21f181ea938418ed225644965000c097114a5
sample,edit,6,4000,nested,1429.226,3170.000,98812,98812,1,0,3,1024,0,0,true,false,b88ec03cb7fde2cf908fdae7757ee5de8a1417d87c37ae5775e634b5c23aa4b1
sample,noop,6,4000,nested,1115.540,2600.000,98812,98812,0,0,1,0,0,0,true,false,b88ec03cb7fde2cf908fdae7757ee5de8a1417d87c37ae5775e634b5c23aa4b1
sample,edit,7,4000,nested,1509.899,3260.000,99784,99784,1,0,3,1024,0,0,true,false,2a25e0c9a4134d2a0cbe6c05972c15c929874801fce8712b626a6e1eabc01a9e
sample,noop,7,4000,nested,1118.977,2560.000,99796,99796,0,0,1,0,0,0,true,false,2a25e0c9a4134d2a0cbe6c05972c15c929874801fce8712b626a6e1eabc01a9e
validation,filesystem,0,4000,nested,176.840,190.000,99796,99796,0,0,0,0,0,0,true,true,c85b15c2c0bbfaf219af0653cb16b79cba10b9b3bf504d89fbaaca188312a2c1
